dataset,window_aa,contour_percent,mean_inter_RG_distance_aa
all_disordered_IDRs,20,70,10.5112911813417
all_disordered_IDRs,20,80,10.0442057873653
all_disordered_IDRs,20,90,9.0639939864831
all_disordered_IDRs,40,70,16.6416716690178
all_disordered_IDRs,40,80,12.3579565770147
all_disordered_IDRs,40,90,8.8434521661468
all_disordered_IDRs,60,70,21.6778325865087
all_disordered_IDRs,60,80,16.5399126718097
all_disordered_IDRs,60,90,11.8586614983193
all_disordered_IDRs,80,70,25.410445087809
all_disordered_IDRs,80,80,19.0423731875014
all_disordered_IDRs,80,90,13.6791005638
all_disordered_IDRs,100,70,25.410445087809
all_disordered_IDRs,100,80,19.0423731875014
all_disordered_IDRs,100,90,13.6791005638
curated_RG/RGG_proteins,20,70,3.8550136710129
curated_RG/RGG_proteins,20,80,3.14326256786627
curated_RG/RGG_proteins,20,90,2.58821027591335
curated_RG/RGG_proteins,40,70,5.67295440502074
curated_RG/RGG_proteins,40,80,4.53384120873564
curated_RG/RGG_proteins,40,90,3.63636363636364
curated_RG/RGG_proteins,60,70,8.2497702267016
curated_RG/RGG_proteins,60,80,7.1511039888267
curated_RG/RGG_proteins,60,90,6.20257664002827
curated_RG/RGG_proteins,80,70,8.85155787456141
curated_RG/RGG_proteins,80,80,7.40872903351847
curated_RG/RGG_proteins,80,90,5.92109890885709
curated_RG/RGG_proteins,100,70,9.23194702762664
curated_RG/RGG_proteins,100,80,7.97423729880841
curated_RG/RGG_proteins,100,90,6.60555582205453
